,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,Dashboard Wireframe,,,
1,,,,,
2,,"Header: filters, legal entity, business line, segment, export MIS / committee pack",,,
3,,,,,
4,,,,,
5,,"KPI strip: open alerts, alerts > SLA, open cases, pending STRs, STR conversion %, false positive %, data issues",,,
6,,,,,
7,,,,,
8,,"Risk & Flow Overview: alert mix by fiat/stablecoin/hybrid, top typologies, corridor and stablecoin trend",,,"Screening & Exceptions: sanctions/name hits, wallet blacklist hits, failed ingestion, model test exceptions"
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,"Alert Workbench: selected alert, customer profile, account + wallet activity, IP/device/geo, decision buttons",,,"Case Desk: entity graph, linked accounts/wallets/devices, timeline, notes, approvals"
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,"STR Drafting: triggering factors, subject background, suspicious facts, digital footprints, editable annexure controls",,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,"Governance & Tuning: scenario effectiveness, threshold review due, backlog ageing, QA defect rate, committee log",,,
